"promptId","imageId","title","original","thumb400","thumb800"
"pr_32","pr_32","South Indian Bridal Portrait","https://notesapp-ed63a.web.app/prompts/original/pr_32.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_32.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_32.webp"
"pr_33","pr_33","Cinematic Golden Hour Village Couple Portrait","https://notesapp-ed63a.web.app/prompts/original/pr_33.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_33.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_33.webp"
"pr_34","pr_34","Cinematic Women Portrait #13","https://notesapp-ed63a.web.app/prompts/original/pr_34.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_34.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_34.webp"
"pr_35","pr_35","Cinematic Love Digital Painting Poster","https://notesapp-ed63a.web.app/prompts/original/pr_35.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_35.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_35.webp"
"pr_36","pr_36","Romantic Watercolor Splash Couple Portrait","https://notesapp-ed63a.web.app/prompts/original/pr_36.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_36.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_36.webp"
"pr_37","pr_37","Cinematic Couple Portrait #28","https://notesapp-ed63a.web.app/prompts/original/pr_37.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_37.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_37.webp"
"pr_38","pr_38","Cinematic Fairy Light Tunnel Portrait","https://notesapp-ed63a.web.app/prompts/original/pr_38.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_38.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_38.webp"
"pr_39","pr_39","Cinematic Women Prompt #03","https://notesapp-ed63a.web.app/prompts/original/pr_39.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_39.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_39.webp"
"pr_40","pr_40","Playful Flour Couple Kitchen Moment (exact Pose Preservation)","https://notesapp-ed63a.web.app/prompts/original/pr_40.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_40.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_40.webp"
"pr_41","pr_41","Cinematic Couple Prompt #03","https://notesapp-ed63a.web.app/prompts/original/pr_41.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_41.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_41.webp"
"pr_42","pr_42","Cinematic Women Prompt #02","https://notesapp-ed63a.web.app/prompts/original/pr_42.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_42.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_42.webp"
"pr_43","pr_43","Cinematic Women Prompt","https://notesapp-ed63a.web.app/prompts/original/pr_43.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_43.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_43.webp"
"pr_44","pr_44","Cinematic Women Portrait #12","https://notesapp-ed63a.web.app/prompts/original/pr_44.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_44.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_44.webp"
"pr_45","pr_45","Cinematic Men Portrait #12","https://notesapp-ed63a.web.app/prompts/original/pr_45.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_45.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_45.webp"
"pr_46","pr_46","Cinematic Couple Prompt #02","https://notesapp-ed63a.web.app/prompts/original/pr_46.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_46.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_46.webp"
"pr_47","pr_47","Traditional Royal Temple Portrait Generator","https://notesapp-ed63a.web.app/prompts/original/pr_47.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_47.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_47.webp"
"pr_48","pr_48","Cinematic Fashion Portrait #02","https://notesapp-ed63a.web.app/prompts/original/pr_48.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_48.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_48.webp"
"pr_49","pr_49","Cinematic Couple Prompt","https://notesapp-ed63a.web.app/prompts/original/pr_49.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_49.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_49.webp"
"pr_50","pr_50","Cinematic South Indian Romantic Couple Portrait Generator","https://notesapp-ed63a.web.app/prompts/original/pr_50.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_50.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_50.webp"
"pr_51","pr_51","Cinematic Mirror Reflection Portrait Generator","https://notesapp-ed63a.web.app/prompts/original/pr_51.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_51.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_51.webp"
"pr_52","pr_52","Cinematic Nature Portrait Generator","https://notesapp-ed63a.web.app/prompts/original/pr_52.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_52.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_52.webp"
"pr_53","pr_53","Cinematic Couple Portrait #27","https://notesapp-ed63a.web.app/prompts/original/pr_53.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_53.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_53.webp"
"pr_54","pr_54","Cinematic Women Portrait #11","https://notesapp-ed63a.web.app/prompts/original/pr_54.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_54.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_54.webp"
"pr_55","pr_55","Cinematic Artistic Portrait #04","https://notesapp-ed63a.web.app/prompts/original/pr_55.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_55.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_55.webp"
"pr_56","pr_56","Cinematic Couple Portrait #26","https://notesapp-ed63a.web.app/prompts/original/pr_56.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_56.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_56.webp"
"pr_57","pr_57","Cinematic Couple Portrait #25","https://notesapp-ed63a.web.app/prompts/original/pr_57.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_57.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_57.webp"
"pr_58","pr_58","Cinematic Couple Portrait #24","https://notesapp-ed63a.web.app/prompts/original/pr_58.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_58.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_58.webp"
"pr_59","pr_59","Cinematic Women Portrait #10","https://notesapp-ed63a.web.app/prompts/original/pr_59.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_59.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_59.webp"
"pr_60","pr_60","Cinematic Couple Portrait #23","https://notesapp-ed63a.web.app/prompts/original/pr_60.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_60.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_60.webp"
"pr_61","pr_61","Cinematic Couple Portrait #22","https://notesapp-ed63a.web.app/prompts/original/pr_61.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_61.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_61.webp"
"pr_62","pr_62","Cinematic 3D Render Prompt","https://notesapp-ed63a.web.app/prompts/original/pr_62.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_62.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_62.webp"
"pr_63","pr_63","Cinematic Women Portrait #09","https://notesapp-ed63a.web.app/prompts/original/pr_63.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_63.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_63.webp"
"pr_64","pr_64","Cinematic Kids Portrait #02","https://notesapp-ed63a.web.app/prompts/original/pr_64.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_64.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_64.webp"
"pr_65","pr_65","Cinematic Women Portrait #08","https://notesapp-ed63a.web.app/prompts/original/pr_65.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_65.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_65.webp"
"pr_66","pr_66","Cinematic Kids Portrait","https://notesapp-ed63a.web.app/prompts/original/pr_66.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_66.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_66.webp"
"pr_67","pr_67","Cinematic Women Portrait #07","https://notesapp-ed63a.web.app/prompts/original/pr_67.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_67.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_67.webp"
"pr_68","pr_68","Cinematic Men Portrait #11","https://notesapp-ed63a.web.app/prompts/original/pr_68.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_68.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_68.webp"
"pr_68","pr_68_alt","Cinematic Men Portrait #11","https://notesapp-ed63a.web.app/prompts/original/pr_68_alt.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_68_alt.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_68_alt.webp"
"pr_69","pr_69","Cinematic Couple Portrait #21","https://notesapp-ed63a.web.app/prompts/original/pr_69.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_69.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_69.webp"
"pr_71","pr_71","Cinematic Couple Portrait #19","https://notesapp-ed63a.web.app/prompts/original/pr_71.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_71.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_71.webp"
"pr_72","pr_72","Cinematic Men Portrait #10","https://notesapp-ed63a.web.app/prompts/original/pr_72.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_72.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_72.webp"
"pr_73","pr_73","Cinematic Couple Portrait #18","https://notesapp-ed63a.web.app/prompts/original/pr_73.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_73.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_73.webp"
"pr_74","pr_74","Cinematic Artistic Portrait #03","https://notesapp-ed63a.web.app/prompts/original/pr_74.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_74.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_74.webp"
